document_name,threshold,num_chunks,chunk_index,num_tokens
niosh_safe_3d_printing_2024-103.pdf,90,235,93,560
niosh_safe_3d_printing_2024-103.pdf,90,235,94,21
niosh_safe_3d_printing_2024-103.pdf,90,235,95,45
niosh_safe_3d_printing_2024-103.pdf,90,235,96,121
niosh_safe_3d_printing_2024-103.pdf,90,235,97,277
niosh_safe_3d_printing_2024-103.pdf,90,235,98,20
niosh_safe_3d_printing_2024-103.pdf,90,235,99,174
niosh_safe_3d_printing_2024-103.pdf,90,235,100,358
niosh_safe_3d_printing_2024-103.pdf,90,235,101,133
niosh_safe_3d_printing_2024-103.pdf,90,235,102,243
niosh_safe_3d_printing_2024-103.pdf,90,235,103,88
niosh_safe_3d_printing_2024-103.pdf,90,235,104,49
niosh_safe_3d_printing_2024-103.pdf,90,235,105,47
niosh_safe_3d_printing_2024-103.pdf,90,235,106,3
niosh_safe_3d_printing_2024-103.pdf,90,235,107,420
niosh_safe_3d_printing_2024-103.pdf,90,235,108,153
niosh_safe_3d_printing_2024-103.pdf,90,235,109,19
niosh_safe_3d_printing_2024-103.pdf,90,235,110,390
niosh_safe_3d_printing_2024-103.pdf,90,235,111,31
niosh_safe_3d_printing_2024-103.pdf,90,235,112,61
niosh_safe_3d_printing_2024-103.pdf,90,235,113,31
niosh_safe_3d_printing_2024-103.pdf,90,235,114,79
niosh_safe_3d_printing_2024-103.pdf,90,235,115,38
niosh_safe_3d_printing_2024-103.pdf,90,235,116,77
niosh_safe_3d_printing_2024-103.pdf,90,235,117,23
niosh_safe_3d_printing_2024-103.pdf,90,235,118,145
